Date,Average Pedestrian Count
November 2022,8471
December 2022,11048
January 2023,31523
February 2023,175367
March 2023,179418
April 2023,243112
May 2023,223188
June 2023,248010
July 2023,238914
August 2023,207449
September 2023,218686
October 2023,226732
November 2023,221561
December 2023,291384
January 2024,294870
February 2024,279700
March 2024,259557
April 2024,277825
May 2024,281201
June 2024,284225
July 2024,289495
August 2024,273801
September 2024,271061
October 2024,270077
November 2024,326404
December 2024,338450
January 2025,334611
February 2025,334086
March 2025,297957
April 2025,311315
May 2025,352716
June 2025,436254
July 2025,466221
August 2025,517801
September 2025,541360
October 2025,430821
