Date,Percent of Transit Inspections
December 2018,100
January 2019,100
February 2019,100
March 2019,100
April 2019,100
May 2019,100
June 2019,100
July 2019,100
August 2019,100
September 2019,100
October 2019,100
November 2019,100
December 2019,100
January 2020,100
February 2020,100
March 2020,100
April 2020,100
May 2020,100
June 2020,100
July 2020,100
August 2020,100
September 2020,100
October 2020,100
November 2020,100
December 2020,100
January 2021,100
February 2021,100
March 2021,100
April 2021,100
May 2021,100
June 2021,100
July 2021,100
August 2021,100
September 2021,100
October 2021,100
November 2021,100
December 2021,100
January 2022,100
February 2022,100
March 2022,100
April 2022,100
May 2022,100
June 2022,100
July 2022,100
August 2022,100
September 2022,100
October 2022,100
November 2022,100
December 2022,100
January 2023,100
February 2023,100
March 2023,100
April 2023,100
May 2023,100
June 2023,100
July 2023,100
August 2023,100
September 2023,100
October 2023,100
November 2023,100
December 2023,99.7
January 2024,100
February 2024,100
March 2024,100
April 2024,100
May 2024,99.5
June 2024,100
July 2024,100
August 2024,100
September 2024,100
October 2024,100
November 2024,100
